epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,4982.82,0.29412,0.84899,1,0.48068,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,5052.39,0.28176,0.82413,1,0.52451,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,5124.74,0.29613,0.84715,1,0.45279,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,5193.69,0.26824,0.84807,1,0.49204,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,5261.74,0.27842,0.8407,1,0.52939,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,5337.78,0.261,0.84622,1,0.52304,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,5409.52,0.25895,0.84346,1,0.50402,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,5472.9,0.25744,0.83517,1,0.5572,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,5531.6,0.26286,0.85083,1,0.51921,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,5590.1,0.24364,0.84807,1,0.52973,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,5651.03,0.25596,0.86188,1,0.51577,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,5713.4,0.23828,0.85727,1,0.52667,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,5776.34,0.25194,0.84807,1,0.55419,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,5836.17,0.25021,0.85359,1,0.5327,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,5895.68,0.23987,0.84807,1,0.54783,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,5954.95,0.22505,0.85451,1,0.54271,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,6020.62,0.2275,0.84807,1,0.56309,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,6083.58,0.2255,0.85543,1,0.54818,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
